id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
1,128,1024,1,inf,8,32,32,16,RS,False,True,False,False,False,27,1,1,inf,inf,23,1,3,False,inf,8
2,512,2048,256,inf,8,1,256,64,RS,False,True,False,False,False,18,1,1,inf,inf,1,25,17,False,inf,1
3,256,2048,128,inf,1,1,16,256,RS,True,True,True,True,True,2,1,1,inf,inf,2,12,1,False,inf,32
4,256,256,256,inf,1,64,128,1,RS,True,True,False,True,True,11,1,1,inf,inf,1,8,28,False,inf,1
5,1024,1024,1024,inf,1,256,32,16,RS,False,True,False,True,False,9,32,1,inf,inf,1,25,11,False,inf,1
6,128,512,512,inf,1,256,32,16,RS,True,False,True,False,True,4,1,1,inf,inf,1,27,7,False,inf,32
7,512,256,1,inf,1,64,256,1,RS,False,False,True,True,False,17,1,1,inf,inf,19,25,1,False,inf,1
8,256,1024,512,inf,1,64,256,16,RS,True,False,False,False,True,4,1,1,inf,inf,28,1,2,False,inf,8
9,512,1,2048,inf,8,64,64,1,RS,False,True,False,False,True,26,1,1,inf,inf,17,1,12,False,inf,8
10,1024,2048,1,inf,1,1,512,512,RS,True,True,False,False,True,12,8,1,inf,inf,27,1,25,False,inf,1
11,64,1024,1024,inf,8,32,512,16,RS,True,True,False,True,True,19,8,1,inf,inf,10,27,1,False,inf,1
12,256,256,1,inf,1,512,256,64,RS,False,True,True,True,True,12,1,1,inf,inf,1,21,27,False,inf,8
13,256,64,1,inf,1,512,16,1,RS,True,False,True,False,False,10,8,1,inf,inf,1,15,6,False,inf,8
14,128,2048,2048,inf,8,128,512,32,RS,False,True,True,False,False,8,1,1,inf,inf,19,15,1,False,inf,8
15,1024,256,1024,inf,8,1,64,512,RS,True,True,True,True,False,7,1,1,inf,inf,15,1,24,False,inf,1
16,512,64,64,inf,1,64,1,32,RS,True,True,True,False,True,29,1,1,inf,inf,10,1,13,False,inf,8
17,1024,256,1024,inf,1,16,1,32,RS,True,False,False,False,False,29,1,1,inf,inf,14,1,5,False,inf,32
18,2048,2048,512,inf,1,1,1,128,RS,True,False,False,True,True,20,1,1,inf,inf,1,19,5,False,inf,32
19,256,1,128,inf,32,32,64,128,RS,True,False,True,True,False,30,1,1,inf,inf,1,28,5,False,inf,1
20,1,256,512,inf,1,512,16,512,RS,False,False,True,False,False,30,8,1,inf,inf,4,20,1,False,inf,8
21,64,128,1,inf,1,1,16,64,RS,True,True,True,False,True,5,1,1,inf,inf,25,2,1,False,inf,1
22,256,512,2048,inf,1,256,512,1,RS,True,True,True,False,True,7,1,1,inf,inf,23,1,26,False,inf,8
23,512,1024,1024,inf,1,128,512,512,RS,False,True,False,True,False,10,1,1,inf,inf,8,1,3,False,inf,8
24,128,512,1,inf,1,256,512,1,RS,False,True,False,False,False,23,8,1,inf,inf,18,13,1,False,inf,8
25,256,2048,512,inf,32,1,32,16,RS,True,False,False,True,True,29,1,1,inf,inf,26,21,1,False,inf,1
26,2048,1024,64,inf,1,1,16,512,RS,False,True,True,False,True,9,1,1,inf,inf,12,26,1,False,inf,8
27,512,512,2048,inf,1,1,256,256,RS,False,True,True,False,False,29,1,1,inf,inf,19,1,29,False,inf,1
28,2048,64,1024,inf,8,64,1,64,RS,True,True,False,False,False,19,1,1,inf,inf,1,25,8,False,inf,1
29,512,128,512,inf,8,1,32,128,RS,True,False,True,False,False,13,8,1,inf,inf,12,6,1,False,inf,1
30,128,128,64,inf,1,1,32,1,RS,False,True,True,True,False,5,8,1,inf,inf,6,1,13,False,inf,8
31,1024,1,1024,inf,8,32,256,512,RS,False,False,True,False,False,23,1,1,inf,inf,17,24,1,False,inf,8
32,1024,1024,128,inf,1,128,512,32,RS,False,False,False,True,False,21,1,1,inf,inf,1,14,27,False,inf,1
33,1,512,256,inf,1,256,16,1,RS,False,True,True,False,True,14,1,1,inf,inf,1,14,29,False,inf,8
34,512,256,1,inf,1,1,128,1,RS,False,True,False,True,True,17,1,1,inf,inf,8,1,21,False,inf,8
35,128,256,64,inf,8,1,16,1,RS,False,True,True,True,True,22,1,1,inf,inf,14,1,6,False,inf,1
36,1,1,2048,inf,1,512,64,1,RS,True,True,True,False,True,26,8,1,inf,inf,1,7,2,False,inf,8
37,256,2048,64,inf,8,64,64,1,RS,True,True,False,True,False,7,1,1,inf,inf,1,22,24,False,inf,8
