id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
1,1024,2048,2048,inf,1,512,64,512,RS,True,True,True,True,False,26,32,1,inf,inf,19,1,19,False,inf,1
2,128,1024,1,0.10672263590521718,8,512,256,128,RS,True,True,True,False,False,14,8,35,0.10674884980906856,3.956285621434264e-05,7,1,20,True,0.10673574285714287,1
3,1024,512,64,0.26864297343622767,1,32,256,32,RS,True,True,True,True,True,26,1,35,0.2690451979923437,0.0006070500742550504,17,21,1,True,0.2688440857142857,32
4,1024,1,128,0.10641404998212928,1,1,512,1,RS,True,True,True,True,True,8,1,35,0.1064451500178707,4.693716164040197e-05,1,9,29,True,0.10642959999999999,8
5,256,256,512,0.1145420474710609,8,16,128,128,RS,True,False,False,True,False,2,1,35,0.11465635252893909,0.00017251282353991708,18,1,11,True,0.1145992,8
6,64,2048,2048,0.27150003548860324,8,16,16,32,RS,True,False,False,True,True,13,1,35,0.27166253593996814,0.0002452508420173187,17,22,1,True,0.2715812857142857,1
7,512,2048,2048,0.16575054326479405,8,1,32,512,RS,True,True,True,False,False,12,8,35,0.16577334244949166,3.4409253620121326e-05,21,26,1,True,0.16576194285714285,1
8,1,2048,512,0.2926549721569846,1,256,128,64,RS,True,False,False,False,False,25,1,35,0.29275445641444403,0.0001501448008573434,1,26,11,True,0.2927047142857143,32
9,1024,1,256,inf,32,32,512,128,RS,True,False,False,True,True,28,1,1,inf,inf,15,1,2,False,inf,1
10,128,512,256,0.1397527509346501,1,64,256,64,RS,True,True,False,True,True,20,8,35,0.1398417633510642,0.00013434036577868397,1,20,10,True,0.13979725714285715,1
11,512,1024,512,0.19935605021252498,1,128,1,1,RS,False,False,False,False,False,23,32,35,0.199378349787475,3.3655226722075334e-05,12,22,1,True,0.1993672,1
12,1024,1,256,0.2708078722622342,1,1,16,1,RS,True,False,True,True,False,2,1,35,0.27095767059490855,0.00022608040108577137,1,11,16,True,0.27088277142857137,32
13,256,256,2048,0.09826173932841292,1,128,256,1,RS,True,True,True,True,True,28,8,35,0.09828582067158709,3.634432791273718e-05,23,22,1,True,0.09827378,8
14,1,1024,256,0.163491570598406,1,128,64,128,RS,True,True,False,True,False,14,8,35,0.1635735722587369,0.00012375951004480766,1,13,25,True,0.16353257142857144,1
15,2048,128,1024,0.232632127527455,1,64,1,32,RS,False,False,True,False,True,3,8,35,0.23283970104397367,0.0003132765434134208,19,26,1,True,0.23273591428571433,1
16,2048,1,512,0.11457399504307335,8,16,16,1,RS,False,False,False,False,True,1,1,35,0.11477034781406949,0.0002963418379135127,14,15,1,True,0.11467217142857142,8
17,64,512,64,0.09544179265463115,1,1,1,64,RS,True,False,True,False,False,5,1,35,0.09546819591679742,3.984864179694539e-05,1,12,14,True,0.09545499428571429,8
18,1024,128,128,0.3327320690776172,1,64,1,16,RS,False,True,False,False,True,24,1,35,0.33356050235095414,0.0012502978061572519,28,28,1,True,0.3331462857142857,32
19,64,256,1024,0.09179767225820404,1,128,256,64,RS,False,True,True,True,True,8,1,35,0.0918234648846531,3.892705097948174e-05,16,1,27,True,0.09181056857142857,8
20,1024,256,1024,0.09570784606878235,1,256,32,32,RS,False,True,True,True,False,2,8,35,0.09572975393121763,3.3064041754492707e-05,18,8,1,True,0.09571879999999999,8
21,128,1024,2048,0.10042898891958617,1,128,16,128,RS,False,False,True,True,True,4,1,35,0.100449868223271,3.151170822253271e-05,1,2,21,True,0.10043942857142858,8
22,2048,1,512,0.11800704464193323,8,256,512,16,RS,True,False,False,False,True,2,1,35,0.11808364107235247,0.00011560176539856677,22,15,1,True,0.11804534285714285,8
23,1024,128,512,0.19641239344313216,8,32,1,16,RS,False,False,True,True,False,21,1,35,0.19645137798543932,5.8836709351791035e-05,20,11,1,True,0.19643188571428574,1
24,1,512,1,inf,1,256,512,32,RS,False,False,False,True,False,22,32,1,inf,inf,1,3,26,False,inf,1
