id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
1,1,512,64,inf,1,32,16,512,DLMT,False,True,False,True,False,3,32,1,inf,inf,1,26,27,False,inf,1
2,2048,1,1024,0.21751845475794537,32,128,256,128,DLMT,False,False,False,True,False,17,1,35,0.2175403452420546,3.303781383289425e-05,5,25,1,True,0.21752939999999998,1
3,2048,1,2048,inf,1,128,32,32,DLMT,True,False,False,True,True,30,32,1,inf,inf,24,26,1,False,inf,1
4,128,2048,1024,inf,1,16,256,32,DLMT,False,True,True,True,False,28,32,1,inf,inf,1,11,18,False,inf,1
5,1,1,256,0.09870776976097931,8,128,32,512,DLMT,True,True,True,True,False,26,1,35,0.098743584524735,5.405277889361776e-05,1,11,2,True,0.09872567714285715,8
6,256,2048,2048,inf,32,256,256,1,DLMT,False,False,False,False,True,4,1,1,inf,inf,4,6,1,False,inf,1
7,2048,128,64,0.17807720273330338,1,1,32,1,DLMT,True,True,False,False,False,3,32,35,0.17809605440955376,2.8451548503461678e-05,1,1,1,True,0.17808662857142857,1
8,2048,2048,2048,0.16198678313275752,1,32,1,256,DLMT,True,True,False,False,False,17,1,35,0.1622314454386711,0.0003692521222632568,27,1,25,True,0.1621091142857143,1
9,1,1,1024,0.3173891279865052,1,1,512,1,DLMT,False,True,False,True,True,15,1,35,0.3177243577277805,0.0005059393720232328,29,23,1,True,0.31755674285714286,32
10,1,1024,1,inf,1,512,256,1,DLMT,True,False,False,True,False,8,32,1,inf,inf,3,1,27,False,inf,1
11,2048,1024,1,0.14478117131657117,1,512,256,512,DLMT,False,True,False,True,True,1,1,35,0.14481220011200027,4.6829643498581496e-05,6,1,5,True,0.14479668571428572,1
