id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,1,64,1024,inf,1,False,4,1,RS,True,False,False,True,False,26,64,128,1,1,30,1,9,inf,False,inf,inf
2,32,1024,1,0.20734071286205558,8,False,512,16,RS,True,False,True,True,True,13,8,1024,35,2,1,2,15,0.00017792116116931354,True,0.20739965714285713,0.20745860142365868
3,16,256,2048,0.20307700854772248,2,False,8,16,RS,True,True,True,False,False,6,2,4,35,8,21,1,5,4.344007366476425e-05,True,0.20309140000000003,0.20310579145227758
4,8,512,16,0.2107295991276159,8,False,32,2,RS,False,True,True,True,False,11,8,2,35,2,1,23,5,0.0002048269433807328,True,0.2107974571428571,0.2108653151580983
5,128,16,256,0.15516379925876134,2,False,16,64,RS,True,True,False,True,True,4,8,16,35,2,19,25,1,5.536948249565639e-05,True,0.15518214285714285,0.15520048645552437
6,32,512,256,0.09869565800495125,1,False,128,32,RS,True,False,True,True,True,19,4,64,35,8,1,19,17,3.719349251837389e-05,True,0.09870797999999999,0.09872030199504872
7,2048,1,512,0.15593506499761273,4,False,32,1,RS,True,True,False,False,True,15,1,32,35,2,1,7,14,0.00021954795115678542,True,0.15600779999999997,0.15608053500238722
8,4,2048,1024,0.2394268363560191,1,False,1024,4,RS,False,True,False,True,False,26,16,8,35,2,25,24,1,0.0001846202279584448,True,0.239488,0.2395491636439809
9,64,256,512,0.09764318311675899,4,False,128,64,RS,True,True,True,True,False,8,16,8,35,4,30,15,1,0.00023352480244098677,True,0.09772054857142859,0.09779791402609819
10,256,256,512,0.11327187492155219,16,False,32,256,RS,False,False,True,False,False,11,1,1,35,4,28,1,2,2.8492376352352773e-05,True,0.11328131428571427,0.11329075364987634
11,1024,2,1024,inf,8,False,1,1,RS,False,False,False,True,False,29,4,64,1,1,29,15,1,inf,False,inf,inf
12,2048,1024,1,0.1308623216207032,2,False,128,128,RS,True,True,True,True,False,3,16,128,35,2,1,14,15,2.4643018633009497e-05,True,0.13087048571428572,0.13087864980786826
13,2048,32,1,0.09752978968196425,2,False,1,1,RS,False,False,True,True,False,20,16,1,35,4,6,1,1,3.125930574914169e-05,True,0.09754014571428571,0.09755050174660716
14,512,512,1024,inf,2,False,4,8,RS,True,False,True,True,False,27,32,4,1,2,4,1,20,inf,False,inf,inf
15,2048,1024,2048,0.1366774650334629,2,False,1024,64,RS,True,False,False,False,False,15,2,1024,35,2,1,21,15,5.913806743890209e-05,True,0.13669705714285713,0.13671664925225135
16,32,512,1024,0.2870937318053064,2,False,512,1,RS,True,False,False,False,True,24,2,64,35,32,1,26,17,0.0001205131748238453,True,0.2871336571428571,0.2871735824804078
17,256,16,1024,0.09568494904053473,8,False,1,64,RS,True,True,True,True,True,18,2,64,35,8,12,1,5,3.156308823254657e-05,True,0.09569540571428571,0.09570586238803669
18,1024,1,2048,inf,1,False,512,256,RS,False,False,False,True,False,30,32,256,1,2,1,12,2,inf,False,inf,inf
19,256,4,2048,inf,8,False,2,8,RS,False,False,True,True,True,9,4,64,1,1,17,3,1,inf,False,inf,inf
20,32,2048,4,inf,4,False,2,2,RS,False,False,True,False,True,14,4,1,1,4,5,1,27,inf,False,inf,inf
21,64,16,1,inf,1,False,16,4,RS,False,False,True,True,False,8,1,1,1,64,21,1,7,inf,False,inf,inf
22,64,1,16,0.22066642173706122,1,False,256,1,RS,True,False,True,True,False,6,1,4,35,1,19,25,1,6.970401563696519e-05,True,0.22068951428571423,0.22071260683436725
23,512,512,8,inf,1,False,16,1,RS,True,False,False,True,True,19,32,2,1,1,15,1,5,inf,False,inf,inf
24,256,8,16,0.18926771546137283,4,False,2,32,RS,True,True,True,False,True,5,2,8,35,2,10,24,1,0.00022189664076698723,True,0.1893412285714286,0.18941474168148437
25,4,8,256,0.1935383598505683,4,False,8,4,RS,False,False,False,True,True,18,1,32,35,4,30,13,1,3.2548111955025275e-05,True,0.19354914285714284,0.19355992586371737
26,2048,1024,1024,0.3377852892457057,16,False,8,2,RS,True,True,True,True,False,13,1,1,35,4,21,28,1,4.54387769309356e-05,True,0.3378003428571429,0.33781539646858005
27,1024,512,1,0.1955130641166589,8,False,256,16,RS,True,True,True,True,False,9,2,2,35,8,1,22,30,2.317799801183938e-05,True,0.19552074285714288,0.19552842159762687
28,64,16,16,0.22498030673829963,2,False,1,32,RS,False,False,True,True,True,30,16,8,35,1,16,15,1,3.14148021785662e-05,True,0.2249907142857143,0.22500112183312895
29,2048,128,1024,0.23123314867918565,2,False,1,32,RS,False,True,True,True,True,25,2,1,35,32,5,1,28,0.0001561663529570922,True,0.23128488571428568,0.2313366227493857
30,512,128,16,0.1430993763881515,1,False,32,2,RS,False,False,True,False,False,28,1,2,35,2,1,5,11,3.827639545437426e-05,True,0.14311205714285716,0.1431247378975628
31,256,128,64,0.10075459536297222,1,False,64,1,RS,True,True,True,False,True,25,2,1,35,16,1,19,3,7.952894993366351e-05,True,0.10078094285714287,0.10080729035131351
32,64,64,512,0.24794799132000786,4,False,2,4,RS,True,False,False,False,False,21,4,1,35,4,1,20,14,4.7459198372959024e-05,True,0.2479637142857143,0.24797943725142071
33,32,1024,1,0.13595565404184312,4,False,512,4,RS,False,True,True,False,True,16,2,1024,35,8,1,10,17,2.821043373343543e-05,True,0.13596500000000003,0.13597434595815694
34,32,1024,1,inf,2,False,2,16,RS,True,True,False,True,True,20,4,2048,1,16,20,4,1,inf,False,inf,inf
35,16,1024,2048,0.12096162782667806,2,False,128,16,RS,True,True,False,True,True,23,2,64,35,16,27,1,29,4.450302443287947e-05,True,0.12097637142857146,0.12099111503046485
36,32,8,64,0.26672096107725546,8,False,1,1,RS,False,False,False,True,True,20,8,1,35,1,27,27,1,4.522195601831565e-05,True,0.2667359428571428,0.26675092463703015
37,1,16,1,0.23888685575537438,8,False,8,2048,RS,True,False,False,False,True,13,1,2,35,4,14,16,1,3.1051241389625415e-05,True,0.2388971428571428,0.23890742995891123
38,256,2,32,inf,8,False,1,4,RS,False,True,True,True,True,23,1,2,1,8,22,1,3,inf,False,inf,inf
39,32,32,32,0.21407028921396362,8,False,16,4,RS,False,False,False,False,False,28,2,16,35,2,1,17,17,0.00015962303552240873,True,0.21412317142857146,0.2141760536431793
40,8,256,512,0.13868305398747427,8,False,32,1,RS,True,False,False,True,False,14,2,32,35,1,1,7,8,3.105657773174937e-05,True,0.13869334285714285,0.13870363172681144
41,64,64,8,0.08844895799213262,4,False,32,64,RS,True,True,True,True,False,23,4,1,35,8,10,1,14,3.206214323109787e-05,True,0.08845958,0.08847020200786737
42,4,16,32,0.1469411113142938,4,False,4,1,RS,False,True,True,True,True,1,2,4,35,4,16,11,1,3.122850607756792e-05,True,0.14695145714285715,0.1469618029714205
43,32,256,512,inf,1,False,2,4,RS,True,True,False,True,False,18,32,8,1,1,23,1,21,inf,False,inf,inf
44,512,1,1024,0.21605590738920255,2,False,16,128,RS,True,False,False,False,False,18,2,4,35,16,1,6,10,5.763034914745212e-05,True,0.21607500000000002,0.21609409261079748
45,512,2048,64,0.24672045487553312,32,False,512,16,RS,False,True,True,False,False,6,1,8,35,1,19,1,14,0.0011601317363619903,True,0.2471048,0.2474891451244669
46,512,1024,16,inf,4,False,32,2,RS,True,False,True,False,True,1,8,8,1,8,14,1,11,inf,False,inf,inf
47,16,256,32,0.26327120624904365,1,False,1,2,RS,False,False,True,False,False,22,2,8,35,1,1,7,23,7.682259446548628e-05,True,0.26329665714285705,0.26332210803667044
48,1,8,256,0.18452089325695079,4,False,1,32,RS,True,False,True,True,True,1,2,4,35,2,1,23,8,0.00038979023558203754,True,0.18465002857142856,0.18477916388590634
49,512,512,8,0.162461622016011,2,False,8,32,RS,False,True,False,False,True,18,1,4,35,2,6,17,1,4.2795727423591976e-05,True,0.1624758,0.162489977983989
50,512,1,2048,0.3164202747142446,1,False,2,4,RS,False,False,False,True,False,30,1,4,35,2,11,14,1,5.45380301688055e-05,True,0.3164383428571429,0.3164564110000412
