id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,8,32,1024,inf,16,False,32,8,DLMT,True,True,False,False,True,10,2,2,1,1,29,1,5,inf,False,inf,inf
2,2048,512,64,0.18781569560860215,1,False,64,1,DLMT,True,False,False,True,False,10,1,4,35,1,1,13,15,0.02095233279527799,True,0.1947570857142857,0.20169847581996928
3,512,16,1,0.34955283451139546,4,False,1,2,DLMT,True,False,False,True,False,26,1,2048,35,4,28,1,20,0.00010209237913552301,True,0.34958665714285714,0.3496204797743188
4,256,512,64,inf,16,False,512,2,DLMT,False,False,True,True,True,9,4,1,1,2,30,8,1,inf,False,inf,inf
5,1024,16,2048,inf,64,False,1,32,DLMT,False,False,False,False,True,12,1,256,1,1,1,19,11,inf,False,inf,inf
6,1,256,1,0.2671958288078445,1,False,4,256,DLMT,False,False,True,False,False,25,64,32,35,1,30,19,1,3.415104504332306e-05,True,0.26720714285714287,0.26721845690644125
7,2048,1024,1024,0.10693785530793552,1,False,4,2048,DLMT,True,True,True,True,True,30,4,1024,35,8,5,20,1,0.00034868119583156683,True,0.10705337142857144,0.10716888754920735
8,1,16,4,0.13397896341585522,1,False,4,2048,DLMT,False,False,True,True,False,25,2,1,35,2,14,1,5,2.382692697305969e-05,True,0.13398685714285716,0.1339947508698591
9,2048,2048,2048,0.12033093499465713,4,False,2048,16,DLMT,False,True,True,False,False,3,8,64,35,2,13,22,1,4.1592287354112175e-05,True,0.12034471428571429,0.12035849357677145
10,1,1024,2048,0.15045938104101853,8,False,64,256,DLMT,False,False,False,False,False,10,4,2048,35,2,1,26,24,0.00017383448379162884,True,0.15051697142857146,0.15057456181612439
11,128,1,1,0.09546492628785035,16,False,1,128,DLMT,True,True,True,False,False,9,2,1,35,4,2,4,1,6.440365599966037e-05,True,0.09548626285714285,0.09550759942643534
12,1,2048,256,0.17047657044159778,1,False,2048,256,DLMT,True,False,True,False,False,9,8,4,35,1,9,1,1,1.99248383600339e-05,True,0.17048317142857145,0.1704897724155451
13,512,2048,128,0.20371269967130223,16,False,2048,256,DLMT,False,True,True,True,False,30,1,8,35,1,7,1,12,7.895537360058788e-05,True,0.20373885714285714,0.20376501461441204
14,2048,2048,1,inf,64,False,16,8,DLMT,False,True,True,False,True,23,1,2,1,1,24,1,18,inf,False,inf,inf
15,64,2048,4,0.259787455177942,2,False,4,64,DLMT,False,False,True,True,False,1,1,1,35,32,1,17,14,0.00017999259848728625,True,0.2598470857142858,0.25990671625062955
16,128,1024,1,0.14509104439733378,2,False,2,1,DLMT,False,False,False,False,False,8,1,512,35,16,24,1,29,0.000158292202033107,True,0.1451434857142857,0.14519592703123763
17,2048,1024,1,0.24234148200848116,4,False,1,512,DLMT,True,False,False,True,True,11,8,2,35,1,15,3,1,5.537843092978692e-05,True,0.2423598285714286,0.24237817513437604
18,8,1024,2048,0.21887210964518633,2,False,512,1,DLMT,True,True,False,True,True,19,16,1,35,1,10,1,16,9.496624534592333e-05,True,0.21890357142857145,0.21893503321195656
19,64,8,1,0.2855028164707016,1,False,1,32,DLMT,False,False,True,True,True,30,1,16,35,64,1,25,29,6.859876835926714e-05,True,0.2855255428571428,0.28554826924358406
20,256,1,1,0.09867958057465998,1,False,128,128,DLMT,False,False,True,False,True,2,2,1024,35,8,1,9,9,4.5602937069752877e-05,True,0.09869468857142859,0.0987097965681972
21,256,2048,32,0.20237206395293955,1,False,32,4,DLMT,True,False,False,False,False,30,16,32,35,1,18,1,21,9.174073494898211e-05,True,0.20240245714285712,0.2024328503327747
22,128,1,64,0.2116710123573505,2,False,16,4,DLMT,True,True,True,True,True,12,2,64,35,2,1,11,15,3.532184385137746e-05,True,0.21168271428571428,0.21169441621407806
23,16,8,512,0.19176971102437473,32,False,4,1,DLMT,True,False,False,False,False,1,2,2,35,2,12,3,1,9.211610242802762e-05,True,0.1918002285714286,0.19183074611848244
24,2048,2048,64,0.3741688713809566,1,False,256,2048,DLMT,False,True,False,True,True,18,2,4,35,16,30,1,30,8.990723563989618e-05,True,0.3741986571428571,0.3742284429047576
25,16,1,1,0.21068153434211742,32,False,2048,16,DLMT,False,False,False,True,False,10,2,2048,35,2,3,1,17,0.00017181939735117963,True,0.21073845714285713,0.21079537994359684
26,1024,256,2048,0.20709633527774313,2,False,16,1024,DLMT,True,True,False,False,False,28,16,2048,35,1,1,2,1,3.952162931450956e-05,True,0.20710942857142858,0.20712252186511404
27,8,1,1,0.15954430112117624,1,False,2048,1,DLMT,False,False,False,True,True,20,8,64,35,4,24,1,5,6.773956128633444e-05,True,0.15956674285714284,0.15958918459310945
28,1024,1,64,0.14589115099117875,2,False,1,512,DLMT,True,True,False,True,True,21,16,16,35,2,30,29,1,6.862393228045415e-05,True,0.14591388571428568,0.1459366204373926
29,4,64,2048,0.25272681923228363,1,False,2,1,DLMT,True,False,True,False,True,25,1,256,35,64,1,1,21,0.00044158628158224585,True,0.25287311428571424,0.25301940933914485
30,128,1,128,0.13173565275412358,1,False,128,8,DLMT,False,True,False,False,False,29,1,1,35,4,1,18,19,4.339288007054035e-05,True,0.1317500285714286,0.1317644043887336
31,2048,16,16,inf,2,False,8,16,DLMT,True,True,True,True,False,7,32,8,1,2,3,1,9,inf,False,inf,inf
32,8,128,2048,0.11423730739628496,8,False,16,1,DLMT,False,False,True,True,True,30,1,2048,35,8,26,30,1,3.3741345073173446e-05,True,0.11424848571428572,0.11425966403228649
